study_hours,sleep_hours,stress_level,attendance_rate,screen_time_hours,caffeine_intake,learning_efficiency,fatigue_index,quiz_score,assignment_score,performance_index
7.888119881953079,7.318902184689383,5.558082584400276,0.9510515284806528,3.83824373195297,1,0.4255167457276133,0.5558082584400276,63.27019963407092,109.63826528856148,91.09103902676526
9.950369682396904,5.987168879665576,5.628494665190548,0.7591975924478789,2.175392597329417,2,0.4407067841049542,0.9004598399638626,79.33345164117252,113.5406902588946,99.85779481180576
7.849006422577697,7.375698018345671,3.79872262016239,0.8208306250206723,3.796586775541206,0,0.4538169952232548,0.379872262016239,77.07226236474644,112.92701836260927,98.58511596346412
8.994472137679873,7.822544912103189,2.5583127000579555,0.8708863595004755,1.0806597522404489,1,0.468137567271133,0.2558312700057955,74.50014229187315,119.8134621577567,101.68813421140328
7.990914657134892,5.416705786463113,6.547400833667364,0.796185833833704,2.306643805277308,1,0.4814081381312561,1.1825048212123654,57.751539848393,117.71696745686884,93.73079641347849
9.887748459593356,6.160782476777362,4.381575248297571,0.8831263431403564,6.951090254244718,1,0.4965449267468568,0.7178966992373031,63.48767276039861,114.42017063668946,94.04717148617311
9.834795419230428,7.296561384328971,2.924340246969036,0.8424196254971814,6.945927067511575,3,0.5116362912909043,0.2924340246969036,76.6234240765682,116.34289286202748,100.45510534784376
8.939135912525254,7.087047068238172,4.401985299068265,0.8591760776535502,1.0248621707982144,2,0.5259027183348306,0.4401985299068265,66.45887835274029,123.4166890364399,100.63356476296003
8.191506397106812,6.498242956415464,6.830804235404148,0.8828751109659684,3.9404795924659215,4,0.5393948647218024,0.850332771401927,68.83883188444763,120.1742273625404,99.64006917130328
8.63217427586724,7.296120277064576,5.522110544359778,0.850511345664246,4.530825733249706,1,0.5533530979562958,0.5522110544359778,67.88406235480511,115.85312184265406,96.66549804751448
9.214938830094756,4.9776850668042645,3.1138863830654757,0.9903958738659292,4.96289839097672,1,0.5678851652446972,0.9854936160384592,58.92863951177728,129.13261997582154,101.05102779020385
8.567390719451987,6.807639035218878,5.603094684667225,0.8465288230294756,2.662643924760936,3,0.5817766401027117,0.62442979006043,73.446340295964,115.78920811036264,98.85206098460318
10.0,8.392325753491903,3.238718362940461,0.8576894948584571,4.013135035593347,1,0.597008523221827,0.3238718362940461,78.96500881579394,129.9196075404454,109.53776805058482
9.87358941563538,5.449336568933868,5.137125949612055,0.7437696286273895,5.947184861270364,3,0.6121332015485844,1.030600405316583,64.8919784502109,113.3192001753296,93.94831148528212
8.643254974231805,7.556121798533965,7.087721221837316,0.9026448161334696,7.72777304883421,1,0.6261027930030945,0.7087721221837315,82.5125749252864,117.61105155466656,103.57166090291447
10.0,7.521941565616897,5.5939693464663724,0.8750492850345877,5.692896418993952,1,0.6413346761222097,0.5593969346466372,74.81688041176452,119.96456691499866,101.905492313705
10.0,7.4738329209117875,2.617393005594703,0.915655360863383,3.050636659545357,3,0.3634742985443648,0.2617393005594702,74.11099458512379,123.13647991538456,103.52628578328024
10.0,5.630128943283704,3.4564385010134826,0.9378673548190896,4.520810983612381,4,0.3787061816634801,0.802267535673447,69.28432008670705,116.45390804865096,97.5860728638734
9.041980064470025,6.862728182902184,4.751735222236681,0.924034081794774,4.095075535310661,2,0.3930728979096724,0.5209307945896068,71.14223067269967,121.33933607607923,101.26049391472742
7.7542612212880115,7.630074938601007,8.525874944606457,0.8730953722945133,3.3821262172192776,2,0.4060743694417048,0.8525874944606457,64.72111606682238,120.3415042055546,98.09334895006172
8.040991903573222,8.382004604171943,6.810243919913118,0.7896095627515471,5.6088982397417055,4,0.419400813642157,0.6810243919913118,66.28734644717302,117.63160292361276,97.09390033303686
9.651391251305798,5.847434628339985,1.998463213585652,0.8665022798109339,3.288142164341264,0,0.4343320222330987,0.5840347785785701,80.06474192635966,108.51211138152476,97.13316359945873
8.585468194610108,7.080198712540815,3.213759452741554,0.8165182752605266,8.120760282265758,1,0.4482421862250008,0.3213759452741554,69.91479345457734,127.14233095821892,104.2513159567623
10.0,4.974857413342393,5.372908629538856,0.7838213535231612,6.704866669592448,1,0.4634740693441161,1.2123383918397543,67.09571064706657,117.94490891584316,97.60522960833254
8.665752908849633,6.682153093489417,5.635534064874237,0.6887772692825476,6.890763380175135,3,0.4774666681726396,0.6695023753242848,73.52397800099733,101.62914403058936,90.38707761875256
10.0,8.266911149186623,3.5846610687624385,0.8943819428146228,6.5492681068586736,1,0.4926985512917549,0.3584661068762438,55.779905470479775,115.8584421444998,91.8270274748918
7.005038428442351,5.699807158406561,8.086135303718168,0.9823263807151236,4.743175706920583,4,0.5047923010664799,1.2420111442362964,58.33899065383002,127.55468884743678,99.86840956999409
8.399783122841205,7.647162696787044,5.252189655648058,0.6602623017511342,7.561081523354927,4,0.5185082525627606,0.5252189655648059,70.17304734967374,104.4649468200341,90.74818703188996
9.884990467186665,6.535470251355032,3.755525670187442,0.814451135908364,6.904022187693389,4,0.5336426842904186,0.5303958165670668,78.51992409136369,120.94460328737864,103.97473160897265
9.610370265433463,5.212328388068218,2.558859791436291,0.7830797271818787,7.323874635493549,5,0.548537465853461,0.8517765164542231,68.63282512895175,120.35289069711963,99.66486446985247
9.681952971294963,6.689733243406544,5.648332704976884,0.8369856945632315,5.193991929985437,2,0.5634956689087554,0.668255522695507,73.42258378073807,125.33114800540564,104.56772231553862
7.803339530786478,7.624119817052155,6.25669101852856,0.8487753227153085,3.2054912570283367,0,0.5765536357998037,0.625669101852856,57.780640454201546,129.1925178407472,100.62776688612894
9.613841341475425,8.357880788099989,4.13339318619488,0.8703822727527467,6.118218405229055,0,0.4201723763120844,0.4133393186194879,73.88020294665131,110.48682406548028,95.84417561794872
7.592536225623444,6.335772556695577,7.720222732496342,0.6462924065027861,8.140064561085344,1,0.4329851186985766,0.9934314210177752,60.58943413388296,104.57935821268008,86.98338858116124
